"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0.348213575864793,0.397671712696789,0,0,0,0,0,0,0,0,0
"3",0,-1.68255418726022,0,-1.12136520223199,0,0.493501347799943,0,0,0,0.714152905196909,0.503572150588054,0,0,0,-0.477541983522351,0,0,-0.518980839014881,0,0
"4",0,0,0,0,0,0.318571671916082,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0.300809802621491,1.07562106528769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.972275871331852
"7",0,0,0,0,0,0,0,-0.322041947626598,0,0,0,0,-0.368282186229356,0,0,0,-0.63691751317494,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526152460487426,0.462913539051706,0,0,0
"10",0,1.14596141770743,0.331615043543187,0,0,0,0,0.318076431049952,0,0,-0.406148726596273,0,0,0,0.349083829212389,0.668078084848234,0,0,0,-0.307780936992274
"11",0,1.16580155400511,0,-0.372816729686053,0,0,0,0,0,-0.351161718303842,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426969378759475,0
"13",0,0,0,0,0,-0.445809029487618,-0.553011290923849,0,0,0,0,0,0,0,0,0,-0.800672493041605,0,0,-1.00440853800321
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,-1.64592640989718,-0.455727073626127,0,0,0,0,0,0.491005365656036,0.726675139714447,0.633674129611689,0,0,0,0,0.393670574904717,-0.536491454438971,0,-0.312513065617516,0
"16",0,0,0,0,0,0,0,-0.340457307860473,0.504579855471595,0.387419410359745,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,-0.492605374524292,0,0.716970465126955,0,0,0,-0.392558935154355,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0.303529847019509,0,0,0,0,0,0,0,0.308286660226529,0,0.651310007338532,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,-0.354053762355037,0,0,0,0,0,0,0,0,0,0,0,0,0,0
